Bertino,Scotti,SCOBEO42R02F608Q,San giorgio della richinvelda,Via Della colonia 8
Osio,Forcignano',FOGOSI72P06K958I,Cividale del friuli,Corso Giuseppe mazzini 25
Rosolo,Falbo,FALROO16V25H726A,Cervignano del friuli,Via Firenze 5
Agide,Pelle',PEEAGE44Q30T287O,Tramonti di sopra,Casolare Colbareit 3
Orvino,Ciardo,CIIORO59X03K746Q,Bicinicco,Via Mortegliano 12
Americo,Ianni,IAIAMC32B08Q792T,Brugnera,Via Xxv aprile 2
Camillo,Elea,ELECAI98W21W351F,San daniele del friuli,Via Zara 85
Bonaventura,Di staso,DIOBOU57L17H526W,Brugnera,Via Mazzini 50
Onisto,Lembo,LEEONO21M22I392A,Aquileia,Vicolo Vincenzo ioppi 3
Remidio,Demiri,DEIRED29K33L099W,Farra d'isonzo,Via Brigata regina 8
Firpo,Olimpo,OLLFIR95O24E871K,San giorgio di nogaro,Via Galilei 26
Garibaldo,Capristo,CATGAO02K00W379A,Medea,Via Roma 9
Rainerio,Serafini,SEIRAN28B15N794R,Azzano decimo,Via Manzoni 14
Breno,Nieto ferrer,NITBRN54M15L473W,Premariacco,Via Daniele cernazai 57
Sante,Guzzo foliaro,GUOSAE17M28A150I,San quirino,Via San valentino 13
Polluce,Novembrini,NOBPOO85Y21B610Q,Pordenone,Via Montereale 6
Camillo,Mignone,MINCAL25U25N717L,Lignano sabbiadoro,Isola Punta faro 108
Ottonello,Guido,GUOOTL02D28L323N,Latisana,Via Egregis gaspari 52
Romandino,Canoci,CAAROO20X29I743Y,Arzene,Via Braide 2
Severio,Marsilio,MARSER47W24X839I,Arzene,Via Maggiore 7
Jano,Edoriseagbon,EDAJAN02L21Q734X,Cervignano del friuli,Via Giosue' carducci 15
Carso,Di cinti,DIICAA85N27Q572M,Roveredo in piano,Via Xx settembre 110
Alviso,Bottalico,BOTALV53L02M986Y,Gradisca d'isonzo,Via Aquileia 67
Relio,Mandurrino,MANREO28W07D224J,Budoia,Via Umberto martina 2
Orieldo,Litta,LIAORL15W26W482U,Pordenone,Via A. fantuzzi 2
Lisio,Cortellino,COLLIO47K14N494Q,Pasiano di pordenone,Via Pasiano di sotto 57
Azaria,Filippi filippi,FIIAZA83R37U317J,Gradisca d'isonzo,Via Aquileia 49
Caro,Spata,SPTCAO12P00V098H,Aquileia,Via Livia 6
Melchiore,Montefrancesco,MOEMEH99F19H362N,Pagnacco,Via Casali liola 7
Renzino,Bedonia,BENREN08W14R838X,Premariacco,Via Cividale 20
Giancarlo,Casavecchia,CAEGIA37O39C569O,San giorgio della richinvelda,Via Xx settembre 8
Giuseppino,Podo,PODGIE25F13D874W,Porcia,Via Istria 8
Aldimiro,Mugellini,MUIALI70W16M158Z,Cordenons,Via Romans di sotto 55
Giommaria,Muya,MUAGIM56L21W204O,Gradisca d'isonzo,Viale Trieste 116
Ezelindo,Magrini,MAIEZL89U19M978B,Palmanova,Contrada Barbaro 16
Egeo,Buccoliero,BUOEGE38K05W113Q,Pontebba,Frazione Studena bassa 15
Aristeo,Delfino,DELARE80B18R424Y,Pordenone,Via Della colonna 43
Gogliardo,Pecere,PECGOI04L16S465Y,Medea,Via Xxiv maggio 9
Giorgio,Pareo,PAOGIR55R39V285W,Pasian di prato,Via Cotonificio 19
Costabile,Pushparatnam,PURCOB11E08K517A,Aquileia,Via San marco 16
Ismeno,Bizzochetti,BIHISN25H25I600R,Palmanova,Via Giustinian 27
Celsio,Fattizzo,FAZCEO81A23N911T,Sgonico,Frazione Sgonico/zgonik 51
Lauriano,Vetrugno,VETLAN38Q15I894I,Pordenone,Via Monte cavallo 30
Baudolino,Chauhan,CHNBAN56Q13I501X,Pordenone,Via Tofane 1
Emerigo,Cica,CIAEMM84C08P642N,Pagnacco,Via Dei morars 23
Guerino,Rasaratnam,RATGUO76L34B174C,Lignano sabbiadoro,Calle Velasquez 12
Quirino,Giacchino,GIIQUI68W35U625L,Remanzacco,Via Marconi guglielmo 30
Germinale,Di paola,DI GEI65Z07C479I,Remanzacco,Via Buttrio 2
Giacchino,Casciaro,CAIGIO50K29N042G,Porcia,Calle Delle mura 5
Giannello,Vitto,VITGIN23L04Y567A,Brugnera,Via Giolitti 2
Fabbiano,Filograno,FILFAA98H15H673U,Maniago,Via Monte santo 2
Piramo,Ferrunaj,FENPII06F12W006F,Artegna,Via Villa 143
Eglo,De paulis,DELEGG13H39B121C,Polcenigo,Via San michele 17
Giuffrido,Mangione,MAGGIO75R16T585C,Aviano,Via Divisione julia 2
Imeldo,Rame,RAAIMM26D14H043V,Tramonti di sotto,Via Pradileva 20
Floris,Marulli,MAIFLO14L18A156Q,Remanzacco,Via Ziracco 38
Rinardo,Elea,ELERIN35X38U809R,San quirino,Via Partidor 4
Evenzo,Cigna,CINEVO25Y25O276P,Gradisca d'isonzo,Via Quaiatti i. 12
Bertoldo,Frisenna,FRSBEO96O09A103L,Aquileia,Localita  San zili 24
Metodio,Carofiglio,CAOMEO09I18B592Z,Frisanco,Via Antonio villanova 4
Amarando,Murano,MUOAMA68O13P266X,Buja,Via Casele 34
Ricardo,Cataudella,CAARII83M01W138F,Latisana,Via Giardini 0
Leonardo,Eme,EMELEE90M11N691S,Cordenons,Via S. giovanni 115
Rosino,Imperato,IMPROI32B08H815F,Cordenons,Via Stradelle 63
Angilberto,Balzani,BAIANE89D25B545H,Lignano sabbiadoro,Via Paluzza 3
Riger,Marseglia,MAIRIE93D37M109B,Fontanafredda,Via P. diacono 17
Liviano,Carrisi,CASLII85C02W317T,Lignano sabbiadoro,Via Raggio dell'ombra 7
Raffele,Ballara,BAARAF94P23V068R,Pasiano di pordenone,Via Visinale centro 47
Imperiale,Distefano,DINIME68I07K264P,Torviscosa,Via Vittorini 3
Rubio,Pettorino,PEORUB62B36K229M,Pordenone,Via Revedole 79
Filindo,Anastasia,ANAFIO69O35C890U,Rivignano,Via Udine 24
Audace,Tommaso,TOOAUC03R39B655V,Porcia,Via Panegai 38
Ermidio,Calamia,CAAERI31M04P492L,Cassacco,Viale Pontebbana 54
Onilio,Melinte,MELONO16F23T950Q,Cividale del friuli,Strada Di sant'anna 4
Bardilio,D'urbano,D UBAD08E12C628V,Pasian di prato,Via Basaldella 4
Nito,Diaw,DIINIT33A18X660H,Pordenone,Via Pravolton 3
Giandomenico,Grammenou,GRNGII62R38G886M,Pasian di prato,Via Verdi 39
Re,Ferrandino,FERREE91D03K034Y,Duino-aurisina,Frazione Visogliano 10
Riscatto,Lazari,LARRII05R19G630J,Gonars,Via F. corridoni 72
Audenzio,Merico,MEEAUN85O32Y866O,Muzzana del turgnano,Via Castions 105
Portos,El ghaicha,ELAPOO05E13T403Y,Remanzacco,Strada Statale 54 del friuli 21
Felidio,Maci,MAIFEI40E02Z839N,Pasian di prato,Via Udine 52
Falerio,Andriollo,ANRFAO54V23O187Y,Gradisca d'isonzo,Via Petrarca f. 1
Portos,Cesarino,CENPOS68P02P980J,Erto e casso,Localita  Liron 17
Rodiano,Maggiulli,MAGROO17J13D728H,Arzene,Via Sorgive 7
Calisto,Lockley,LOLCAL68J39A588A,Pozzuolo del friuli,Via C.percoto 18
Ozino,Taccarelli,TALOZZ90M33E069W,Latisana,Via Crosere 0
Cortino,Locci,LOCCOT24L26E193M,Buttrio,Via G.oberdan 23
Leonido,Ricchiuto,RIILEO94B23S426M,San giorgio della richinvelda,Via Della chiesa 11
Giuntino,Mousrif,MOUGII15R27O715N,Tavagnacco,Via Centrale 75
Floridante,Cassatella,CAEFLT91X38H513Z,Remanzacco,Via Marconi guglielmo 1
Flaimo,Zhang,ZHGFLI89H39C024U,San giovanni al natisone,Via Chiopris 10
Filomarino,De pascali,DELFIM51Z32W418R,Artegna,Via Sornico inferiore 15
Roselio,Di castro,DISROO78C37M777K,Brugnera,Via Carriade 9
Orizio,Fornarelli,FOLORZ15W36E285R,Medea,Via Roma 45
Cinzo,Cangianelli,CALCIO93C00V397E,Maniago,Via Mazzoli chiasais 44
Quinzio,Trisciuzzi,TRZQUI36H26O001J,Bagnaria arsa,Via G. b. gaspardis 6
Jolando,Jancusova,JASJOA93V34Q237M,Lignano sabbiadoro,Calle Leonardo 12
Innocentino,Festa,FESINN52O35O973T,Gonars,Via Roma 77
Obbes,Bali,BAAOBB29K24V868K,Palmanova,Via Strassoldo 3
Santoro,Rossena,ROSSAR90P07J810H,Muzzana del turgnano,Via Levada i tr. 5
Olferino,Xu,XUUOLF74A01X315Q,Cervignano del friuli,Via Osoppo 10
Ranuccio,Luceri,LUCRAC15H31T466N,Tarcento,Via Dei fagna' 11
Mitridate,Lila,LIAMIR31B14Q756Z,Farra d'isonzo,Via San pelagio 2
Duino,Matthew,MAHDUI90I18G230B,Coseano,Via Codroipo 176
Reanto,Lamosa,LAAREN72M00A649N,Pasian di prato,Via Molino 5
Cusumano,Di cintio,DINCUU25M04G496J,Porcia,Via S.vigilio 4
Giandamiano,Spalluto,SPLGIA36O18Y413V,Carlino,Via Aquileia 16
Marno,Marquez,MAZMAO56Q28R071Y,Carlino,Via Sante bidin 9
Aquilante,Matichecchia,MAIAQE40E10A271C,Tavagnacco,Via Roma 47
Ottello,Daff,DAFOTE89S05X281N,Rivignano,Via Cavour 30
Pericle,Masala,MAAPEE22B06A675J,Pasian di prato,Via Julia 13
Ginio,Landriscina,LACGII90P17U056H,Lignano sabbiadoro,Calle Cezanne 18
Nunziante,Febbraro,FEENUN12P14R191Z,Azzano decimo,Via G. marconi 11
Drago,Gazzabin,GANDRR51I09K527G,Cordenons,Via Delle acque 22
Raimo,Bitonto,BITRAM32C23N800H,Maniago,Via Ponte giulio 44
Lorenzino,Sangiorgi,SAILON50X24P688V,Lignano sabbiadoro,Via Arco dell'alba 26
Alderico,Lanzone,LANALC28J26G518Z,Savogna d'isonzo,Localita  Cotici 4
Parigino,Barlaba',BAAPAG22I20B437K,Martignacco,Via Piave 3
Adelmiro,Godwin,GONADR20C19E082S,Cordenons,Via Sclavons 30
Odero,Rapiyallage,RAAODR52K38D717Y,Fanna,Via Maniago 11
Gaudenzo,Di rosa,DI GAU94X10L984T,Lignano sabbiadoro,Via Genziana 11
Armando,Alvino,ALIARA07I05T788B,Morsano al tagliamento,Via Carbona 15
Ismaele,Catalano,CAAISL54A32K181N,Cassacco,Via Liruti g.g. 9
Giovandamiano,Krajisnik caterina,KRIGIN30A37W272P,Remanzacco,Via Stretta 40
Geraldo,Caprino,CAOGEA49T06C190G,Tricesimo,Via San michele 9
Placidino,Sergio,SEEPLA83M37E583Z,Tricesimo,Via Castelpagano 7
Principe,Miah,MIIPRE64Q10W043A,Remanzacco,Via Cavezzadoria 2
Davinio,Piancone,PIIDAO13F33T783F,San giorgio della richinvelda,Piazza Indipendenza 10
Olfeo,Pilozzi,PIIOLL42S25V234Q,Polcenigo,Via Pedemontana 57
Bortolomeo,Mele,MEEBOO30O19D548I,Cordenons,Via Portolana 69
Protasio,Cariddi,CAAPRT57Y34X770W,Martignacco,Via Piave 67
Rismondo,Carini,CARRIO25C10J555R,Remanzacco,Casali Molino cainero 39
Goretto,Beluli,BELGOT79U06N506U,Marano lagunare,Via Sinodo 25
Siponto,Secli',SECSIT47N19E843F,Pasian di prato,Via Torino 20
Quarto,Oliani,OLAQUT36L38N046X,Cassacco,Viale Liberta' 7
Marchetto,Maddalo,MALMAE49X06Q974C,Pordenone,Via Latisana 14
Ariosto,Solido,SOLARO93C30S147Z,Torviscosa,Via Annia 24
Illio,De vito,DEOILL64N06T815H,Pontebba,Frazione Pietratagliata 76
Pierfrancesco,Celotto,CEOPIA64F24O161U,Premariacco,Via Jacum bisot 5
Castenzio,Memaj,MEECAN48S16O778U,Reana del rojale,Via Primulacco 7
Rancesco,Oliverio,OLERAC60M14P073C,Meduno,Via Mizzeri 17
Firmando,Bianchi,BIIFIA53N28N408Y,Buja,Via S. caterina 43
Gianno,Caracciolo di santeramo,CAAGIN87S01T776I,Latisana,Via Lignano sabbiadoro 7
Fides,Polselli,POIFID70Y34Y165N,Ragogna,Via Del lavoro 6
Ormanno,Filippi,FIIORM60X21G825X,Tricesimo,Piazza Garibaldi 12
Rindo,Di candia,DIIRID49Z07I433D,Arzene,Via Braide 1
Reldo,Bagordo,BAARED41O28T214O,Tramonti di sotto,Localita  Grisa 1
Nedo,Lopez craciun,LOZNED21Z32Z361A,Aviano,Via Nono luigi 2
Amalfio,Scopece,SCCAMI44W27T286X,Gradisca d'isonzo,Via Zucchelli a. 11
Pietruccio,Draetta,DRAPIT80F12Y025O,Pontebba,Frazione Studena bassa 12
Reto,Barbarisi,BAARET66R16B263I,San dorligo della valle - dolina,Frazione Lacotisce 480
Gelasio,Franzutti,FRAGEE08G33Z169F,Travesio,Via Garibaldi 18
Ruggiero,Florea,FLLRUG75E12V693R,Gonars,Via N. sauro 73
Sabatino,Elia,ELISAB51J34E679D,Chions,Via Fornace 6
Finistauro,Fiorella,FIRFIU51Y35M932Y,Meduno,Via Della chiesa 5
Alfano,Corona,COOALF23B17B877A,Tavagnacco,Via San francesco 19
Aminto,Noviello,NOOAMI84D29P397X,Pontebba,Piazza Dante 8
Azzio,Matano,MAOAZI27Y21F867B,Buja,Via Cjacont 29
Giannantonio,Cardella,CADGII71E32L105E,Maniago,Via Dei mazzoli 43
Ricciotti,Loppo,LOORII54V13E376I,Pordenone,Via Tintoretto 1
Riberto,Blasi,BLIRIB25Q31U979D,Tavagnacco,Via M. buonarroti 57
Ausilio,Clopotel,CLEAUL43F25R895B,Montereale valcellina,Via Risorgimento 16
Araldo,Zappatore,ZAOARO83T03W128F,Fontanafredda,Via Rivata 52
Leonida,Fakir,FARLEE79W17G396Y,San daniele del friuli,Via Sottomonte 9
Norandino,Raggiunti,RANNON17D17G882U,Carlino,Via Gemona 1
Isido,Borruto,BOOISD66Q39E588D,Polcenigo,Via Coltura 11
Clemenzio,Cazzatello,CAACLE12T19U581M,Fiumicello,Via Donatori di sangue 18
Maino,Falangone,FANMAO65A34M298G,Bicinicco,Via Codroipo 26
Isaia,Zimari,ZIMISA24F02A750Z,Fontanafredda,Via J. stellini 7
Metello,Cotugno,COOMEL33G36T759Q,Cordenons,Via Villa d'arco 19
Olgher,De filippi,DEFOLH01G14K309Z,Moruzzo,Via Pegoraro 8
Olivo,Pelusio,PELOLI75Y36M637Z,Frisanco,Corte Castello 2
Rialdo,Di battista,DISRIO57M16K242E,Pozzuolo del friuli,Via Leonardo da vinci 12
Roe,Ascenzo,ASNROE59M13D915I,Azzano decimo,Via Comugne di sopra 27
Pierfrancesco,Attianese,ATTPIR66W01Q034C,Majano,Frazione Susans 182
Lubiano,Picciotto,PIILUN98F30D606S,Pordenone,Via Mazzini 14
Geronzo,Coppone,COEGEN73C33L610M,Fontanafredda,Via Anello del sole 245
Rade,Miccoli,MICRAE79R22P799F,Corno di rosazzo,Via Ciampanutis 5
Nadir,Coriano',COINAA65K16A679C,Clauzetto,Via Pradis di sopra 30
Gherardo,Gammariello,GAAGHE46D05B587W,Marano lagunare,Via Leonardo da vinci 6
Ivo,Bottalico,BOLIVO53C27M422W,Lignano sabbiadoro,Calle Cervantes 7
Rio,Gallotta,GATRIO74C14P667N,Spilimbergo,Via Umberto i 40
Armirio,Qiu,QIUARR58B17U354F,Cordenons,Via Delle acque 46
Rambo,Rosati,ROSRAM04J21I557H,Morsano al tagliamento,Via Bolzano 5
Oreliano,Biffero,BIFORO97X34Y480B,Pasian di prato,Via Nuova 14
Gerasimo,Cesaria,CEEGEI33Y33W219P,Chions,Via Villafranca 12
Rosiano,Giallauria,GIAROI58C36K820L,Moimacco,Via Roma 14
Doro,Zannito,ZAODOR43T21H327A,Montereale valcellina,Via A.volta 2
Riccio,Girardo,GIDRII34I32N868B,Montereale valcellina,Via Partidor 4
Azio,Fazzio,FAAAZI93B11C029J,Frisanco,Via Pian delle merie 1
Attanasio,Hyskaj,HYKATO62P04N818M,Remanzacco,Via Treppo 19
Delizio,Alimovic,ALMDEO86M06U150D,Frisanco,Via Valfridina 8
Ruggiero,Ruscigno,RUGRUG66S39U310I,Polcenigo,Via Marchesini 24
Babilo,Summa,SUABAO23U33W969X,Pasian di prato,Via Dante 23
Fabrino,Grassi,GRSFAO24X34O784V,San dorligo della valle - dolina,Frazione Saqnt'antonio in bosco 7
Parigino,Giorgelli,GIIPAI86E13S537Z,Cividale del friuli,Via Rubignacco 111
Bentivoglio,Haouari,HAOBEI81H17Q982L,Palazzolo dello stella,Casali Tenuta regina 5
Oldenio,Zito,ZIIOLI33P12K858D,Muzzana del turgnano,Via Spessa 8
Ademaro,Bettoli,BELADO10M25U617L,Tavagnacco,Via Molin nuovo 85
Ruberto,De bartolo,DEORUT22E17E960H,Pordenone,Via Latina 12
Giacinto,Giosa,GIIGII65U17Z335Q,Gradisca d'isonzo,Via Cividale 20
Carmelito,Camerino,CARCAM77V06K107F,Pasian di prato,Via S.ta caterina 50
Rollando,Danisi,DAIROL53R08D884T,Pasian di prato,Via Verdi 27
Arcangiolo,Raino',RAAARG51L37X288W,Cervignano del friuli,Via Amerigo vespucci 12
Oriele,Cippone,CIPORE74Z27F376G,Morsano al tagliamento,Vicolo Cavalcavia 2
Mamerto,Bonanno,BONMAM88H08U564V,Travesio,Via Verdi 64
Fortino,Luciano,LUOFOT43H03D362D,Pasiano di pordenone,Via Falzago 12
Seleno,Sponziello,SPISEE26Q09T772C,Duino-aurisina,Frazione Duino 80
Levante,Zinnari,ZIALEE87I04I384X,Pontebba,Via Mazzini 8
Aquila,Caushi,CASAQQ44W22K813R,Tramonti di sotto,Via Roma 11
Querrino,Spirito,SPIQUO05Y20M772D,Azzano decimo,Via Peperate 31
Realdo,Maurichi,MAAREL43G29A503R,Aquileia,Localita  Beligna 12
Ermino,Marcisz,MACERO83W33T304F,Aviano,Via Padre marco 2
Achilleo,Fantini,FAIACI49E19Q102Q,Sesto al reghena,Via Cordovado 3
Adelisio,Pinna,PINADS22T18W356K,Brugnera,Via Orsera - tamai 34
Imolo,Scialpi,SCAIML04K07A197D,Cividale del friuli,Stretta Della giudaica 23
Dorligo,Pecere,PEEDOI78A12M864Q,Tramonti di sotto,Localita  Grisa 1
Dilo,Drexler,DRXDII79V11A900P,Lignano sabbiadoro,Isola Punta faro 4
Fonte,Perfetto,PEEFON21O14L076D,Pasiano di pordenone,Via Villotta 12
Quintilio,Saccomandi,SAIQUU81D34R140H,Duino-aurisina,Frazione Aurisina stazione 22
Ermacora,Pirrazzo,PIRERC76M20O875C,Maniago,Via Vittorio alfieri 13
Azolino,Vitarelli,VITAZN10Z07S327D,Cividale del friuli,Via San floreano 39
Righetto,Campeggio,CAGRIT55K16W920R,Muggia,Via Flavia di aquilinia 77
Peppinetto,Turlusso,TUSPET78Z23C721B,Casarsa della delizia,Via Undici febbraio 4
Biondino,Scotti,SCTBIN77R06E876G,Medea,Via Roma 12
Otteo,Beltrame,BELOTT02F19X924P,Tavagnacco,Via Cormor 32
Plauto,Faranda cordella,FACPLO51Z18T912Q,Pasiano di pordenone,Via Centro di rivarotta 53
Brunino,Oezdemir,OEEBRI69N14G288I,Majano,Frazione Susans 193
Battistino,Bonaria,BOIBAA23H10V177L,Aviano,Via Giovanni marinelli 4
Poerio,Quagliozzi,QUZPOO92N14D349N,Campoformido,Via Stretta 24
Ronzino,Sanso',SASROO91Q35L128W,Sgonico,Frazione Gabrovizza/gabrovec 85
Mirvano,Beria,BEIMIR40U16N372H,Lignano sabbiadoro,Via Lilienfeld 20
Emio,Diagne,DIAEMM80H04R378Y,Sequals,Via Risorgimento 6
Arzelio,Giordano,GIIARZ71U27V685S,San giorgio di nogaro,Localita  Galli 22
Ormis,Campagna,CAAORR86H36M262M,Casarsa della delizia,Via G. marconi 2
Simonetto,Staffiero,STFSIO82P24Y656S,San giovanni al natisone,Via A. malignani 26
Rossino,Catanese,CATROS17A19W095R,Medea,Via Zorutti 1
Boerio,Murri,MUUBOO37M18H887T,Polcenigo,Via Pordenone 182
Raulino,De gioia,DE RAI83W09A518B,Lignano sabbiadoro,Viale Tagliamento 57
Ramusino,Fersino,FESRAO81S24W569M,Maniago,Via Antonino di prampero 58
Arcangelo,Lezzi de masi,LEIARG64D34Q612K,Fontanafredda,Via G. oberdan 32
Giseldo,L'abbate,L BGIE57S37W375Q,Martignacco,Via Del mulino 52
Goliardo,Ballerini,BARGOR63I09O706R,Gonars,Piazza San rocco 27
Icilio,Venneri,VENICI70J33O908Q,Moruzzo,Via Borgo bassi 18
Adelchio,Astro,ASOADI47L25K936J,Pordenone,Via A. vesalio 11
Linneo,Arcella,ARELIN59N24P017U,San quirino,Via San valentino 15
Adinolfo,Licenziato,LIOADF74C06H204R,Tricesimo,Via Dei caduti 25
Aleandro,Vigneswaran,VIIALO73K37M038C,San giorgio della richinvelda,Via Maniago 7
Grazioso,Rossena,ROAGRS45G11L288I,Remanzacco,Via Ristori adelaide 33
Leale,Stoyanova,STYLEE58S10G814Z,Campoformido,Via P.zorutti 63
Basile,Gavazzi,GAVBAE76U09V454P,Fontanafredda,Via G. puccini 111
Basso,Jeyakumar,JEKBAS79E03M694Q,Gonars,Piazza Concordato 1
Manio,Feola,FEAMAO48A21E620S,Torviscosa,Strada Di chiarmacis 66
Ornelio,Vincenzoni,VIEORR70S02Y696A,Cervignano del friuli,Via Giuseppe garibaldi 11
Peppuccio,Ramundo,RAAPEU99Y29S650P,Fontanafredda,Via Rivata 39
Alamanno,Menon,MEOALM11X12D779V,Lignano sabbiadoro,Via Casa bianca 6
Nunziato,Piconese,PICNUT15J20K620O,Gemona del friuli,Via Dei cappuccini 44
Rosetto,Civitale,CILROS66S28N037K,Cividale del friuli,Via Tombe romane 72
Ceccardo,De giorgi,DEGCER27F37O382D,Visco,Via Gioitti 3
Oredano,Cisotta,CIIORA59H18I720C,Corno di rosazzo,Via Pietro zorutti 72
Gaudio,Licastro,LIOGAU40V27H334N,Frisanco,Via Bernardon michele 7
Indo,Nocerino,NORINO25K09J938Y,Tavagnacco,Via G. mameli 14
Giammauro,Cipolletta,CIIGIM67Y01S559B,Campoformido,Strada Degli aceri 26
Donillo,Racaniello,RAEDOO28R16P177U,Palmanova,Contrada Villachiara 1
Gorizio,Tepore,TEPGOI59Q14V044W,Tarcento,Via Pascutti 5
Nazario,Arnuco,ARONAA18D35Z313M,Pordenone,Via G. morgagni 10
Goffredo,Guisci,GUCGOR42F25W836O,Aviano,Via Montello 39
Ercole,Asenova,ASOERE28V09S361A,Fontanafredda,Via Anello del sole 159
Azelio,Viannei,VIIAZL05N33Z049R,Pozzuolo del friuli,Via Iv genova 31
Armildo,Miscuglio,MIGARI67B15U520E,Azzano decimo,Via Villacriccola 15
Florigio,Hajdari,HAAFLG17M21K502G,Cordenons,Via G. rossini 4
Rifredo,Diene,DINRIO88U13E080D,Martignacco,Via Semide 19
Carso,Dino guida,DIICAS69P07F848Z,Roveredo in piano,Via Pionieri dell'aria 45
Francescangelo,Cammarata,CATFRE29X35Y906U,Buja,Via Ursinins piccolo 86
Ferro,Lancellotti,LALFER50R21M162W,San dorligo della valle - dolina,Frazione Dolina 15
Donatuccio,Rossi,ROSDOC19G08L151Y,Fontanafredda,Via G. garibaldi 26
Rainiero,Patrocinio,PAORAI23Z05I739J,Pordenone,Viale Della liberta' 63
Manolo,Rinaldi,RIIMAA60N12A005X,Cividale del friuli,Stretta San valentino 19
Norberto,Bodini,BOONOE20Y10H470C,Buja,Via Campo 5
Max,De stradis,DEAMAA33S32W592W,Tramonti di sotto,Localita  Tamarat 7
Gioventino,Germinal,GELGIO11N34R796Q,San giorgio di nogaro,Via Annia 8
Fanuel,Laggetta,LAEFAN36R00E445R,Tramonti di sotto,Via Campone centro 4
Aldero,Mancino,MAAALL82Q09R284X,Fontanafredda,Via Palmanova 12
Giovanni,Islam,ISAGIA97X27E354T,Romans d'isonzo,Via Igino valdemarin 18
Filodeo,Cardini,CARFII40I21W668I,Tavagnacco,Via Iv novembre 7
Isocrate,Gasperini,GAAISE60W19X500I,Tricesimo,Via Isonzo 43
Florenzio,De maria,DEAFLL95N15S011L,Teor,Via Modeano 3
Filargino,Paolino,PAAFII27I18M071Q,Ronchis,Via Giovanni guerin 50
Canzio,Nesta,NEECAA24Y10T954A,Porcia,Via Oltrelacqua 11
Ivano,Ramistella,RAAIVN13F10F078O,Pordenone,Via Cavalleria 10
Sofocle,Fraschetta,FRTSOC68R04J749U,Lignano sabbiadoro,Viale Dei platani 3
Prosdocimo,Cantatore,CAOPRC39X18D136I,Gemona del friuli,Via Stalis 5
Belardino,Falcolini,FALBER51G39L904T,Pordenone,Via Segaluzza 18
Pinello,Mugo,MUGPIE72I02Y628G,Torviscosa,Via Rossini 43
Dionisi,Haka,HAKDIS04B11M674U,Aviano,Via Trieste 62
Risoluto,Di giacomo,DICRIS35V32K159U,Gemona del friuli,Via Stalis 159
Finimondo,Summa,SUMFIM88R07X839L,San daniele del friuli,Via L.thanner 5
Orto,Santaloia,SAAORT90Z10O884M,Tarcento,Via Tagliamento 23
Arcangiolo,Caretta,CATARA25E33T300K,Pasian di prato,Via S.ta caterina 90
Ormeo,Demiri,DEEORR30B09L120A,San dorligo della valle - dolina,Frazione Bagnoli della rosandra 24
Cristofaro,Quida,QUACRI58S08K792S,Fontanafredda,Via I. nievo 6
Ostelvio,Vese,VEEOSO10D26H564O,Cordovado,Via Btg. gemona 73
Lavino,Momoh,MOOLAI35I04S867F,Buja,Via Ursinins grande 18
Liviero,Celestini,CENLIV27X19Z125K,Cervignano del friuli,Via Leonardo da vinci 5
Niccolò,Della monaca,DELNIO67B22O030F,Aquileia,Localita  San zili 17
Mirando,Traldi,TRIMID86P00I233K,Torviscosa,Via Romagnoli 39
Olferino,Selvarajah,SEAOLI42D26G722E,Tarcento,Via Crosis 5
Fulcio,Bisceglia,BICFUC80B34X215B,Pordenone,Via Misurina 4
Giancarlo,Galbiati,GALGIA91L25S049U,Porcia,Via Romagna 17
Rino,Levanto,LEERIO83N38G841A,Latisana,Via Della cooperazione 0
Corinno,Lo cicero,LORCOI84Z05L022Q,Moimacco,Via Boiani 13
Rudi,Bonomo,BOMRUD62A07X867B,Lignano sabbiadoro,Via Delle dune 23
Biase,Forchetti,FOHBIE66U35L783F,San giovanni al natisone,Via A. malignani 19
Saule,Ritucci,RITSAE84G06E470Y,Artegna,Via Guarnerio d'artegna 6
Gentilio,Mento,METGEO08A06R750H,Santa maria la longa,Via Claujano 13
Babila,Ferrunaj,FENBAL20W25H680U,Cervignano del friuli,Via Gorizia 47
Obizzo,Giuffrida,GIAOBO28H30Y806I,Cordenons,Via Maestra 77
Pieretto,Maroccia,MAOPIE53O05Y768A,Aviano,Via Policreti 22
Attanasio,Ioja,IOAATN82N13P236U,Roveredo in piano,Via Cavour 56
Eliseo,Loderini,LOIELE68Z22J122B,Ragogna,Piazza Iv novembre 11
Ruggeri,Rose,ROERUR93M29P387L,Cividale del friuli,Via Giacomo leopardi 83
Fabrio,Ascalone,ASOFAI46T15F744F,Polcenigo,Via Chiesa 2
Madio,Shameti,SHIMAA49K23N491J,Montereale valcellina,Via Maniago 35
Aldo,Lococciolo,LOCALL16P15S252U,San giorgio di nogaro,Via Nazario sauro 51
Bigio,Mininanni,MINBII62K37N333H,Carlino,Via Iv novembre 23
Ebo,Politi,POIEBB47O07E102K,Gradisca d'isonzo,Via Garibaldi g. 35
Giovambattista,Sciacovelli,SCCGII29A38X918O,Meduno,Via Andreuzzi antonio 19
Evelino,Migliaccio,MILEVV57O13A376H,Palmanova,Via G. marconi 13
Asvero,Timo,TIOASV29G38F433B,Budoia,Via Mons.domenico comin 4
Reziero,Ghelmegeanu,GHMREO75Z13I060E,Sgonico,Frazione Gabrovizza/gabrovec 77
